Month,Revenue,COGS,Gross_Profit,Payroll,Marketing,Rent,Software,Other_Expenses,Operating_Expenses,Net_Income,Gross_Margin,Operating_Margin,Net_Margin,Cash_Balance
2025-01,285000,99750,185250,82000,28500,12000,8500,14250,145250,40000,65.0,14.0,14.0,180000
2025-02,292000,102200,189800,83500,30660,12000,9200,14600,149960,39840,65.0,13.7,13.6,210000
2025-03,305000,106750,198250,85000,33550,12000,10100,15250,155900,42350,65.0,13.9,13.9,242000
2025-04,298000,107280,190720,86500,35760,12000,11200,14900,160360,30360,64.0,10.2,10.2,262000
2025-05,312000,112320,199680,88000,37440,12000,12400,15600,165440,34240,64.0,11.0,11.0,286000
2025-06,325000,117000,208000,89500,39000,12000,13800,16250,170550,37450,64.0,11.5,11.5,312000
2025-07,318000,117660,200340,91000,41340,12000,15200,15900,175140,25200,63.0,7.9,7.9,326000
2025-08,335000,124950,210050,92500,43550,12000,16800,16750,181600,28450,62.7,8.5,8.5,342000
2025-09,342000,130360,211640,94000,47880,12000,18500,17100,189480,22160,61.9,6.5,6.5,352000
2025-10,356000,138840,217160,95500,49840,12000,20300,17800,196440,20720,61.0,5.8,5.8,360000
2025-11,368000,147200,220800,97000,51520,12000,22400,18400,201320,19480,60.0,5.3,5.3,366000
2025-12,375000,153750,221250,98500,52500,12000,24600,18750,206350,14900,59.0,4.0,4.0,368000
