Channel,Month,Spend,Impressions,Clicks,CTR,CPC,Conversions,CPA,Revenue,ROAS
Google Search,2025-01,12500,185000,7400,4.00%,1.69,296,42.23,44400,3.55
Google Search,2025-02,13200,192000,7680,4.00%,1.72,322,41.00,50820,3.85
Google Search,2025-03,14000,205000,8200,4.00%,1.71,352,39.77,56320,4.02
Facebook,2025-01,8500,420000,6300,1.50%,1.35,126,67.46,12600,1.48
Facebook,2025-02,9200,445000,6675,1.50%,1.38,120,76.67,11400,1.24
Facebook,2025-03,9800,460000,6900,1.50%,1.42,108,90.74,9720,0.99
Instagram,2025-01,4200,310000,4650,1.50%,0.90,84,50.00,10080,2.40
Instagram,2025-02,4500,325000,4875,1.50%,0.92,92,48.91,11960,2.66
Instagram,2025-03,4800,340000,5100,1.50%,0.94,101,47.52,14140,2.95
LinkedIn,2025-01,6000,45000,900,2.00%,6.67,27,222.22,13500,2.25
LinkedIn,2025-02,6500,48000,960,2.00%,6.77,31,209.68,17050,2.62
LinkedIn,2025-03,7000,52000,1040,2.00%,6.73,35,200.00,21000,3.00
